text,label
좌배 까는건 ㅇㅂ,1
집에 롱 패딩만 세 개다. 10년 더 입어야지 ㅋㅋ,0
개소리야 니가 빨갱이를 옹호하고 드루킹을 ㅇㅇ짓이라고 말못해서 삐진거야 빨갱아,1
세탁이라고 봐도 된다,0
애새끼가 초딩도 아니고 ㅋㅋㅋㅋ,1
731부대의 후예라 그런지 가학적인 아이디어는 세계최고임 이래서 애교만 떨어도 돈 벌리는 한국에 기를 써서 진출하려고 하지조센남자들은 또 이쁜여자만 보면 사족을 못쓰며 공주대접해주는 놈들이니,1
재앙이한건햇노,1
글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯..,1
마 씨발련 아 몇평이고 맷개드갔노 니 대하이햄하고 해밨나,1
은행에 대출 상담 받으러 가보면 직업의 귀천 바로 알려줌,0
ㅋㅋㅋㅋㅋ,0
ㄹㅇㅋㅋㅋ,0
우리지역군데 금태섭 뽑으면 안되지? 그래도 자한당 뻡아야겠지?,0
꽃다발사들고 알바하는곳찾아가서 무릎꿇고 '내 마음을 받아줄래 지영아?' 하면 바로 넘어온다 여자들 이런거 존나좋아함,1
박근혜 안빠는데  보수통합 3원칙 인정함,1
대가리에 필터없는 연봉 30억 강사vs대가리가 없는 용접공,1
백정주제에 라고하는걸 비하라고 느낀다면 본인조차 직업에 자부심이 없는건데,0
이게 다 백인 탓이랑께,0
뭐저런 골빈 ㄴ이 다있냐 ㅋㅋㅋ 저런게 학원강사라고? 애들이 불쌍,1
마감시간 다돼서 떨이하는 고기 사먹으면 식중독 518퍼네아 오래 된 것도 새 거처럼 둔갑해서 다음날 팔테니 떨이라는 개념이 아예 없을라나,0
열사발 들이켜도 아깝지 않음,0
정신병자 천국이구나,1
으따  옷 이딴건  필요 없당깨 현금으로 달랑깨 !,0
?,0
난 사이트 마다 아이디/비번 다 다르고 난이도 높음엑셀 파일에 모든 아이디/비번 / 계좌정보 등등 다 들어 있고이 엑셀 파일에 비번만 기억함,0
깍새들이 시발 존나강요하더라,1
리뷰쓴 새끼가 쓰레기 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데,1
ㅋㅋ ㅇㅈ 저런거에 앉아어 감전사 당할 수도,0
틀딱 씨발새끼들아 다꺼져라 냄새나니까,1
근데 그것 요즘 살짝 트렌드 지났더라.,0
군대에서 여군이 필요한가,0
ㅋㅋ복수할겨,0
내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못받고 굶어 뒈져야 돼 병신새끼야.,1
면도 뭔 스머프모자 쓰고왓네,0
사형 예지!,0
당연히 많이볼수밖에...,0
흑종원 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
=> 난 그런 말 한 적 없는데? ㅋㅋㅋㅎㅎㅋㅋㅋ왜 거짓말하노? ㅋㅋㅋㅋㅋㅋㅋㅋ,0
원래 수준이 그래,1
호주에서는 남자들이 동물보다 못한존재라던데ㅋㅋ,0
나베가 나베했네요!,0
전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 사진 찍는거 기다렸는데 앞의 6명의 짱게이 때문에 짜증남먼저 6명 각자 한장씩 찍음다음 번갈아 가면서 둘이나  셋이서 짝 지어서 찍음 정말 끝나서 싶어 찍을려고 하니 그  6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 하고 있음,1
행함이 없어도 불경건한 자를 의롭다 하시는 그분을 믿는 사람에게는 그의 믿음이 의로 여겨지느니라.,0
짱깨들 말하는 거임? 짱깨국이 무상의료라고?,1
빡대가리들에게 방법을 가르쳐주시면 ㅠㅜ,1
누가 뭐래냐?,0
시발 정작 지네들 자식은 몸쓰는일 안시킬거면서 개지랄떠네 ㅋㅋㅋ,1
용접협회 무시하지 마라. 저기 현장 고수및 용접에 관한 전문지식 가진 대학 교수 학자들 모임이다. 파워력 쎄다.,0
너도 해,0
안하는 애들도 결국 학업에 흥미를 못 느꼈다는거니까,0
니들 틀딱들 닭빨고 진빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ,1
그냥 홀딩하세요,0
만 나이 공식화도,0
꼴리지는 않고 그냥 존나 귀엽다,1
그냥 선거철에 지 지지자 결집시키는거임 자기 지지층엔 아시아인이 별로 없고 이민자들 싫어하는 사람들이 대부분이니까,0
오마쥬가 뭔진 앎?,0
4카 성공,0
쓰레기들은 휴지통으로,0
크로캅이 본야스키 개털던거 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ,1
용팔이,0
그러니깐 딜도로 쑤셔박아야한다는거지?,1
그래서 씨발롬아 PC가 나쁘다는 거야 좋다는 거야?,1
미쳤나 진짜 시발,1
"나 키 183인데 사람들끼리있을때 누가 자기키 177이라하면 나는 ""어? 내키는 175인데?""해주면 주변사람들이 오오 너희 둘이 키재봐라 하는데 키재면 내가 더큼 ㅋㅋㅋ 슬퍼하는모습보는거 개꿀잼",0
아..이분 볼때마다 심장이 뭉클해지네,0
ㄹㅇ 시위 진압 ㅆㅅㅌㅊ였음,0
정재야 니 와그라노,0
뭔가 잘못이해한거같은데 문희상 천황드립이란 소린 문희상이 천황으로 말해서 잘못했다는게 아니라(애초에 일왕이라고 함) 지금 천황이 전범 아들이니까 위안부에게 직접 사과시켜야한다는 말이 불러올 파장을 생각도 못하고 경솔하게 대처해서 빌미를 줬다는 말이야,0
진짜 몇시간씩 할 정도면 히로뽕맞고 하는거일수도있다경교대있을때 뽕쟁이 재소자 의무실간다고 계호할때인데 내보고 히로뽕하는게 단순하게 기분 좋은것보다 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ,1
"휴게소, 마트 등의 여성전용주차장 보고 분노를 해야지",0
질렀으면 끝을 봐야지 ㅆㅂ 만나자해서 이야기해라 머리채 잡고 내가 너 좋와하면 안되냐 그담 허리띠를 풀고....,1
앞머리 좀 자르던가 ㅅㅂ,1
아 그런거야? ㅋㅋㅋ,0
영혼까지팔아도 된다는놈일거야,0
그때 조언했으면 멱살부터 잡을놈이ㅋㅋ,1
남친이노?,0
진주네요...여기 동네에 잠시 살았는데...여기 주차 장난아닙니다.....그냥 욕만 나오죠...,0
대구경북 당선조건 : 매국노,1
개찐따 답네 ㅋㅋㅋㅋㅋㅋ,1
