text,label
까는건 ㅇㅂ 좌배,1
ㅇㅂ 까는건 좌배,1
까는건 좌배 ㅇㅂ,1
좌배 까는건 ㅇㅂ,1
패딩만 롱 집에 세 개다. 10년 더 입어야지 ㅋㅋ,0
집에 롱 패딩만 세 개다. 10년 ㅋㅋ 입어야지 더,0
입어야지 롱 패딩만 세 개다. 10년 더 집에 ㅋㅋ,0
집에 롱 패딩만 세 개다. 10년 더 입어야지 ㅋㅋ,0
개소리야 니가 빨갱이를 옹호하고 ㅇㅇ짓이라고 말못해서 삐진거야 빨갱아 드루킹을,1
개소리야 빨갱이를 니가 옹호하고 드루킹을 ㅇㅇ짓이라고 말못해서 삐진거야 빨갱아,1
개소리야 니가 삐진거야 옹호하고 드루킹을 ㅇㅇ짓이라고 말못해서 빨갱이를 빨갱아,1
개소리야 니가 빨갱이를 옹호하고 드루킹을 ㅇㅇ짓이라고 말못해서 삐진거야 빨갱아,1
봐도 세탁이라고 된다,0
된다 봐도 세탁이라고,0
세탁이라고 봐도 된다,0
애새끼가 초딩도 ㅋㅋㅋㅋ 아니고,1
애새끼가 아니고 초딩도 ㅋㅋㅋㅋ,1
애새끼가 아니고 ㅋㅋㅋㅋ 초딩도,1
애새끼가 초딩도 아니고 ㅋㅋㅋㅋ,1
731부대의 후예라 그런지 가학적인 아이디어는 못쓰며 이래서 애교만 떨어도 돈 벌리는 한국에 기를 세계최고임 진출하려고 하지조센남자들은 또 이쁜여자만 보면 사족을 써서 공주대접해주는 놈들이니,1
731부대의 후예라 그런지 가학적인 떨어도 세계최고임 이래서 보면 아이디어는 돈 벌리는 한국에 기를 써서 진출하려고 하지조센남자들은 또 이쁜여자만 애교만 사족을 못쓰며 공주대접해주는 놈들이니,1
731부대의 후예라 떨어도 가학적인 아이디어는 세계최고임 이래서 애교만 기를 돈 벌리는 한국에 그런지 써서 진출하려고 하지조센남자들은 또 이쁜여자만 보면 사족을 못쓰며 공주대접해주는 놈들이니,1
731부대의 후예라 그런지 가학적인 아이디어는 세계최고임 이래서 애교만 떨어도 돈 벌리는 한국에 기를 써서 진출하려고 하지조센남자들은 또 이쁜여자만 보면 사족을 못쓰며 공주대접해주는 놈들이니,1
재앙이한건햇노,1
글쓴이 와꾸 승리에 비하면 방사능 피폭 일듯.. 원숭이,1
글쓴이 와꾸 승리에 방사능 피폭 원숭이 일듯.. 비하면,1
글쓴이 와꾸 비하면 방사능 피폭 원숭이 일듯.. 승리에,1
글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯..,1
마 씨발련 아 몇평이고 맷개드갔노 니 해밨나 대하이햄하고,1
씨발련 아 몇평이고 맷개드갔노 니 대하이햄하고 해밨나 마,1
몇평이고 씨발련 아 마 맷개드갔노 니 대하이햄하고 해밨나,1
마 씨발련 아 몇평이고 맷개드갔노 니 대하이햄하고 해밨나,1
은행에 대출 상담 받으러 알려줌 직업의 귀천 바로 가보면,0
은행에 대출 가보면 받으러 상담 직업의 귀천 바로 알려줌,0
은행에 대출 상담 알려줌 가보면 직업의 귀천 바로 받으러,0
은행에 대출 상담 받으러 가보면 직업의 귀천 바로 알려줌,0
ㅋㅋㅋㅋㅋ,0
ㄹㅇㅋㅋㅋ,0
안되지? 금태섭 뽑으면 우리지역군데 그래도 자한당 뻡아야겠지?,0
우리지역군데 금태섭 뽑으면 뻡아야겠지? 그래도 자한당 안되지?,0
우리지역군데 금태섭 뽑으면 안되지? 뻡아야겠지? 자한당 그래도,0
우리지역군데 금태섭 뽑으면 안되지? 그래도 자한당 뻡아야겠지?,0
꽃다발사들고 알바하는곳찾아가서 존나좋아함 '내 마음을 받아줄래 지영아?' 하면 바로 넘어온다 여자들 이런거 무릎꿇고,1
꽃다발사들고 알바하는곳찾아가서 마음을 '내 무릎꿇고 받아줄래 지영아?' 하면 바로 넘어온다 여자들 이런거 존나좋아함,1
